Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 136.0, 137.8, 73.6, 153.3, 70.4
10, 106.1, 163.9, 71.9, 128.2, 95.4
15, 178.1, 195.5, 100.1, 228.2, 140.6
20, 198.6, 321.9, 131.2, 248.7, 181.4
25, 223.6, 396.9, 157.6, 329.5, 171.9
30, 273.2, 411.6, 181.2, 414.2, 206.1
35, 383.3, 536.0, 203.3, 451.5, 209.4
40, 353.2, 596.8, 211.4, 545.2, 228.2
45, 423.5, 716.4, 207.6, 642.0, 532.8
50, 373.5, 781.4, 218.5, 726.3, 212.6
55, 456.2, 848.3, 253.5, 885.9, 556.4
60, 553.1, 1036.0, 281.1, 1165.8, 631.4
65, 635.0, 1359.9, 339.0, 1453.2, 720.4
70, 728.1, 1646.0, 429.8, 2081.6, 856.2
75, 931.3, 1886.4, 524.6, 2685.8, 945.5
80, 1150.5, 2313.7, 589.7, 2988.7, 1022.1
85, 1270.4, 2901.4, 673.4, 3571.8, 596.9
90, 1530.0, 3265.6, 804.8, 4107.0, 768.8
95, 1577.7, 3553.9, 821.9, 4555.4, 825.0
100, 1690.7, 3967.8, 868.8, 5239.6, 897.0
