Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 991.0, 2626.7, 593.9, 2907.9, 874.9
10, 2755.3, 3725.3, 1089.1, 4882.8, 1545.7
15, 4848.7, 5029.8, 1608.5, 7331.6, 2098.7
20, 4361.1, 6030.1, 1720.3, 8187.9, 2251.7
25, 4546.9, 7019.2, 1981.2, 9279.6, 2406.4
30, 5077.2, 7881.5, 2185.2, 10453.6, 2674.1
35, 4554.8, 8041.3, 2300.7, 10233.5, 2684.4
40, 5208.4, 9516.1, 2694.2, 11766.5, 2950.3
45, 4792.6, 9843.2, 2858.9, 12031.7, 3276.6
50, 54.5, 111.0, 47.0, 115.7, 53.2
55, 78.1, 134.3, 53.3, 137.5, 48.4
60, 90.7, 192.4, 62.4, 192.3, 54.8
65, 106.4, 174.9, 75.2, 200.1, 49.9
70, 6494.1, 13630.2, 4033.0, 18816.6, 4204.7
75, 7727.1, 16450.8, 4450.3, 21960.4, 4478.2
80, 110.9, 189.0, 81.1, 175.1, 571.8
85, 126.6, 179.8, 98.7, 190.6, 71.6
90, 8178.5, 17955.7, 5095.3, 25059.3, 4837.9
95, 175.0, 254.9, 117.3, 199.8, 81.3
100, 201.5, 237.2, 133.0, 237.5, 84.4
