Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 1214.0, 2261.0, 821.8, 2267.3, 1131.5
10, 1693.9, 3200.2, 1033.0, 3223.6, 1436.1
15, 1925.9, 3695.3, 1204.7, 3872.1, 1634.6
20, 50.1, 59.4, 43.4, 50.0, 34.3
25, 45.4, 71.9, 40.7, 51.5, 42.2
30, 56.2, 73.5, 51.5, 56.2, 50.1
35, 3639.3, 6697.2, 2325.3, 6995.7, 2801.7
40, 4073.8, 8005.4, 2565.9, 8023.6, 3081.5
45, 5081.9, 8752.0, 2912.7, 8990.2, 3576.6
50, 4238.4, 9245.8, 2961.6, 9839.7, 3354.2
55, 81.3, 87.5, 62.5, 106.2, 53.1
60, 107.9, 96.8, 78.3, 126.7, 61.0
65, 6836.2, 11002.2, 3826.6, 14397.8, 4438.2
70, 7472.4, 11731.1, 4094.0, 15112.5, 4712.8
75, 6850.0, 13785.4, 4389.2, 17730.4, 4845.6
80, 6708.1, 14083.6, 4608.8, 16782.9, 5097.2
85, 7194.1, 14694.8, 4858.5, 17589.2, 4855.1
90, 7364.8, 15149.3, 5008.2, 18776.0, 5175.1
95, 228.0, 249.8, 157.8, 220.1, 106.1
100, 272.0, 246.7, 193.9, 248.4, 118.4
