Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 104.8, 81.1, 43.8, 87.4, 57.6
10, 93.5, 145.3, 56.1, 109.5, 86.0
15, 174.8, 204.8, 117.1, 218.7, 146.9
20, 179.6, 332.6, 120.4, 277.9, 165.7
25, 242.1, 362.4, 150.0, 370.2, 165.7
30, 248.5, 343.9, 153.1, 375.0, 159.4
35, 283.0, 479.7, 168.8, 507.9, 173.4
40, 314.1, 478.3, 159.4, 504.7, 173.3
45, 313.9, 592.2, 165.6, 539.1, 451.6
50, 336.5, 729.8, 210.9, 759.7, 201.5
55, 469.3, 880.9, 239.2, 956.2, 559.3
60, 528.1, 1027.2, 265.5, 1112.5, 612.6
65, 592.4, 1185.3, 301.7, 1345.7, 676.5
70, 653.2, 1426.8, 351.6, 1670.3, 762.8
75, 812.5, 1697.7, 415.4, 2264.3, 834.5
80, 978.3, 2137.7, 493.8, 2772.5, 929.8
85, 1160.1, 2615.7, 562.4, 3192.8, 495.6
90, 1273.2, 2821.9, 643.8, 3645.5, 575.0
95, 1364.1, 3055.0, 681.7, 3990.9, 687.6
100, 1503.6, 3407.9, 751.5, 4477.0, 781.6
