Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 88.9, 137.4, 82.8, 170.4, 101.4
10, 231.7, 259.3, 132.9, 271.9, 187.4
15, 467.2, 370.3, 253.1, 407.8, 309.4
20, 721.8, 517.2, 357.9, 648.6, 432.9
25, 945.2, 646.7, 471.7, 917.3, 476.7
30, 442.2, 575.1, 292.0, 1028.3, 265.5
35, 1074.9, 642.4, 392.1, 1067.5, 303.3
40, 879.8, 670.4, 381.2, 1300.1, 281.2
45, 795.4, 825.2, 340.7, 1496.9, 520.4
50, 697.1, 812.4, 382.9, 1650.1, 279.7
55, 876.6, 906.4, 401.5, 2087.8, 271.9
60, 1014.2, 773.4, 415.8, 1843.9, 635.9
65, 1117.1, 668.8, 453.2, 1720.3, 657.6
70, 1098.4, 904.6, 528.2, 2207.1, 698.4
75, 1121.8, 676.6, 606.2, 2920.5, 748.6
80, 1675.0, 1778.3, 734.4, 3478.6, 870.3
85, 2098.7, 1793.9, 704.7, 3397.2, 337.3
90, 2964.1, 1545.2, 808.0, 3544.1, 370.4
95, 3467.5, 1789.4, 887.6, 4147.1, 370.2
100, 4147.3, 1597.1, 907.7, 3705.1, 379.9
