Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 29.8, 31.5, 23.4, 35.8, 24.9
10, 42.3, 35.9, 22.1, 42.0, 23.5
15, 36.2, 32.7, 28.1, 39.0, 32.9
20, 50.2, 59.2, 47.0, 51.4, 34.4
25, 46.8, 70.5, 45.3, 58.0, 42.3
30, 54.7, 74.8, 51.6, 57.9, 56.1
35, 70.4, 77.9, 53.3, 74.9, 42.2
40, 85.9, 81.1, 54.7, 95.4, 43.9
45, 92.1, 70.4, 51.4, 96.9, 54.7
50, 67.4, 79.5, 51.6, 93.8, 54.6
55, 79.9, 87.4, 60.8, 104.6, 62.6
60, 95.4, 99.9, 65.7, 139.2, 61.0
65, 132.8, 162.5, 108.0, 195.4, 74.9
70, 112.5, 136.0, 87.4, 176.5, 87.4
75, 150.0, 157.8, 98.4, 189.0, 95.4
80, 150.1, 171.6, 129.6, 171.8, 98.3
85, 162.4, 189.1, 150.1, 222.0, 100.2
90, 189.1, 209.3, 159.2, 212.5, 101.6
95, 218.8, 217.2, 148.4, 209.2, 93.9
100, 250.0, 259.4, 179.6, 240.8, 98.5
