Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 1006.6, 2350.3, 564.0, 2706.9, 889.2
10, 1830.0, 3689.3, 861.0, 4814.4, 1291.2
15, 1878.2, 4133.2, 1034.5, 5388.4, 1434.2
20, 39.0, 64.0, 32.8, 61.2, 29.9
25, 33.0, 81.2, 25.1, 56.0, 39.1
30, 43.8, 90.7, 37.4, 62.7, 37.5
35, 3404.7, 7553.4, 2037.5, 9228.6, 2449.1
40, 4218.8, 9602.2, 2365.7, 11982.5, 2786.0
45, 5353.6, 11319.4, 2770.4, 15420.0, 3290.2
50, 4511.1, 10488.1, 2792.6, 13449.1, 3033.0
55, 62.5, 120.2, 47.0, 148.6, 42.2
60, 79.6, 154.8, 51.5, 179.7, 45.4
65, 7603.5, 14617.9, 3953.4, 22969.7, 4160.1
70, 8469.2, 16549.3, 4362.7, 25635.8, 4373.5
75, 9455.1, 18944.9, 4830.2, 28745.5, 4677.5
80, 8133.4, 17768.3, 4595.6, 25624.8, 4616.4
85, 8955.3, 18752.5, 4948.1, 28298.5, 4469.9
90, 9139.3, 18721.4, 5103.0, 29238.1, 4769.2
95, 196.7, 359.5, 139.2, 298.4, 81.1
100, 237.5, 392.3, 168.9, 309.5, 96.7
