Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 98.5, 110.6, 56.2, 140.8, 64.2
10, 89.0, 171.9, 51.6, 123.3, 81.2
15, 164.0, 240.7, 97.0, 229.7, 131.3
20, 173.6, 273.5, 117.3, 207.9, 178.1
25, 217.1, 337.6, 159.4, 292.2, 184.1
30, 275.0, 428.4, 157.8, 331.2, 184.1
35, 298.7, 434.4, 187.5, 437.6, 185.9
40, 351.6, 509.6, 203.1, 514.0, 225.3
45, 382.8, 679.8, 203.1, 638.1, 500.0
50, 450.6, 847.0, 278.1, 871.8, 257.9
55, 534.5, 1014.2, 303.6, 1143.7, 609.9
60, 610.9, 1110.9, 332.9, 1304.9, 690.7
65, 682.9, 1349.9, 382.1, 1626.5, 760.1
70, 762.5, 1624.2, 426.6, 2101.3, 848.1
75, 939.0, 1851.6, 498.6, 2614.5, 930.1
80, 1169.0, 2409.9, 606.6, 3048.8, 1037.4
85, 1342.4, 2951.4, 687.3, 3587.5, 625.2
90, 1454.6, 3294.0, 733.3, 4172.1, 715.7
95, 1640.7, 3725.6, 871.8, 4815.2, 881.3
100, 1815.6, 4166.6, 939.2, 5474.4, 1003.9
