Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 24.8, 32.6, 17.3, 34.3, 18.8
10, 1514.1, 2929.9, 870.4, 3094.0, 1256.4
15, 2200.2, 3829.8, 1107.9, 4697.5, 1392.2
20, 3340.5, 5442.5, 1565.8, 6869.4, 1939.2
25, 3722.1, 6364.4, 1827.8, 7902.1, 2195.3
30, 72.0, 101.5, 51.5, 87.6, 48.3
35, 92.2, 101.7, 67.1, 101.4, 54.8
40, 123.5, 151.4, 85.8, 181.3, 51.6
45, 111.1, 143.6, 53.0, 157.8, 50.0
50, 79.8, 157.9, 60.9, 162.9, 57.7
55, 107.7, 204.7, 76.7, 181.2, 71.8
60, 135.9, 220.4, 106.2, 226.6, 70.2
65, 134.4, 187.6, 92.2, 281.3, 73.2
70, 109.5, 178.2, 79.7, 259.3, 99.9
75, 132.9, 203.3, 95.1, 226.5, 96.8
80, 176.5, 287.5, 106.3, 260.9, 582.8
85, 193.9, 270.2, 153.2, 213.9, 107.8
90, 235.8, 304.6, 143.6, 231.4, 91.9
95, 225.2, 409.2, 150.1, 303.2, 87.3
100, 342.1, 329.9, 178.1, 289.1, 132.7
