Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 181.2, 178.1, 120.2, 206.1, 142.4
10, 240.7, 245.3, 167.2, 289.1, 226.7
15, 484.3, 404.8, 262.5, 439.1, 328.4
20, 670.3, 479.8, 362.3, 598.3, 403.3
25, 987.6, 633.1, 596.8, 1009.2, 554.6
30, 1622.2, 825.2, 674.9, 1217.2, 650.0
35, 2124.9, 953.3, 884.4, 1510.8, 745.1
40, 2426.8, 1078.1, 1120.5, 1757.9, 957.9
45, 2837.6, 1596.8, 1259.4, 2009.7, 1276.9
50, 954.7, 1119.4, 501.4, 1582.9, 345.5
55, 938.8, 1084.6, 420.5, 1539.1, 282.6
60, 1259.5, 1012.7, 482.7, 2031.2, 657.7
65, 1971.8, 1206.3, 681.3, 2825.1, 774.9
70, 7333.3, 2061.2, 2873.6, 4195.6, 1836.0
75, 8180.0, 1935.9, 3086.1, 4673.1, 1836.1
80, 3718.9, 1778.2, 1390.8, 4708.2, 1145.5
85, 4758.1, 2037.7, 1395.5, 4511.5, 579.7
90, 14101.1, 2862.6, 4742.5, 5987.9, 1686.1
95, 6264.5, 2142.4, 1534.6, 4973.8, 701.4
100, 6191.0, 2058.3, 1289.1, 4683.5, 540.5
