Instances, FordFulkerson, EdmondsKarp, HighestLabelPushRelabel
1000, 101.5, 48.5, 32.0
1500, 359.5, 129.8, 3531.0
2000, 749.9, 207.6, 6828.0
2500, 1278.2, 306.4, 11891.0
3000, 1310.9, 378.1, 24720.0
3500, 1971.8, 409.4, 31018.0
4000, 3267.3, 485.9, 52487.0
4500, 2473.6, 993.8, 80551.0
5000, 3314.2, 868.7, 116787.0
