Instances, FordFulkerson, EdmondsKarp, HighestLabelPushRelabel
1000, 234.3, 63.9, 1062.0
1500, 331.3, 117.1, 3516.0
2000, 593.7, 236.0, 5625.0
2500, 1196.9, 259.5, 11266.0
3000, 1164.1, 334.8, 21705.0
3500, 1604.8, 553.0, 32533.0
4000, 3103.4, 725.0, 59347.0
4500, 2931.3, 1156.2, 68347.0
5000, 3314.2, 928.2, 96942.0
