Instances, FordFulkerson, EdmondsKarp, HighestLabelPushRelabel
1000, 189.2, 50.1, 1110.0
1500, 365.5, 125.0, 3721.0
2000, 640.6, 210.8, 7172.0
2500, 1229.8, 231.5, 13125.0
3000, 1100.2, 359.5, 22973.0
3500, 1731.8, 520.5, 38082.0
4000, 2790.8, 615.8, 65820.0
4500, 3220.4, 1282.9, 71972.0
5000, 2837.9, 776.7, 116572.0
