Instances, FordFulkerson, EdmondsKarp, HighestLabelPushRelabel
1000, 165.7, 53.0, 1125.0
1500, 342.3, 118.6, 3500.0
2000, 564.1, 159.3, 6188.0
2500, 1224.2, 207.7, 12907.0
3000, 1265.5, 439.2, 23736.0
3500, 1453.5, 347.3, 34768.0
4000, 2972.2, 607.7, 51065.0
4500, 2950.3, 962.6, 68333.0
5000, 3268.8, 950.0, 99866.0
