Instances, FordFulkerson, EdmondsKarp, HighestLabelPushRelabel
1000, 160.64, 55.029999999999994, 656.3
1500, 356.48, 120.75999999999999, 3462.9
2000, 666.36, 198.7, 6752.3
2500, 1259.32, 265.18, 12619.2
3000, 1296.04, 406.84000000000003, 23831.7
3500, 1722.2099999999998, 461.65, 36195.3
4000, 2990.35, 603.3199999999999, 55299.3
4500, 2853.7799999999997, 1062.25, 75191.4
5000, 3345.6400000000003, 887.21, 104502.3
