Instances, FordFulkerson, EdmondsKarp, HighestLabelPushRelabel
1000, 93.9, 45.4, 16.0
1500, 393.8, 129.7, 3406.0
2000, 673.2, 198.5, 5943.0
2500, 1325.1, 236.0, 12281.0
3000, 1417.1, 447.1, 24751.0
3500, 1762.5, 517.0, 39692.0
4000, 2976.5, 656.4, 52049.0
4500, 2865.5, 1010.9, 86239.0
5000, 3290.8, 978.1, 97708.0
