Instances, FordFulkerson, EdmondsKarp, HighestLabelPushRelabel
1000, 123.5, 62.6, 31.0
1500, 370.1, 149.9, 3516.0
2000, 686.1, 181.3, 7704.0
2500, 1337.6, 281.3, 12063.0
3000, 1211.3, 418.8, 22595.0
3500, 1637.6, 528.3, 38424.0
4000, 3025.3, 604.7, 56534.0
4500, 2894.1, 1085.9, 74738.0
5000, 3306.3, 762.5, 104599.0
