Instances, FordFulkerson, EdmondsKarp, HighestLabelPushRelabel
1000, 195.4, 67.4, 906.0
1500, 322.8, 98.5, 2750.0
2000, 761.6, 207.9, 6734.0
2500, 1229.8, 261.0, 13250.0
3000, 1232.8, 392.3, 23004.0
3500, 1794.0, 476.5, 43007.0
4000, 2667.3, 499.9, 52549.0
4500, 2975.3, 1056.4, 70082.0
5000, 3921.5, 1035.9, 86149.0
