Instances, inst1, inst2, inst3, inst4, inst5, inst6, inst7, inst8, inst9, inst10
1000, 200.0, 257.8, 243.7, 160.8, 229.7, 151.7, 171.7, 271.7, 170.1, 200.0
1500, 385.9, 371.9, 387.5, 407.8, 386.0, 398.6, 401.3, 390.7, 426.6, 371.7
2000, 524.9, 706.4, 658.6, 687.6, 584.7, 720.5, 649.8, 596.8, 672.1, 583.0
2500, 743.8, 810.8, 876.6, 754.8, 1009.5, 915.7, 1020.5, 778.2, 887.6, 953.3
3000, 1403.1, 1296.9, 1226.9, 1561.0, 1451.5, 1271.8, 1361.0, 1212.5, 1375.1, 1390.7
3500, 1444.5, 1652.7, 1775.4, 1511.2, 2124.1, 1815.9, 1557.9, 1770.3, 1897.0, 1534.3
4000, 2420.9, 2415.8, 2361.0, 2586.0, 2414.1, 2468.7, 2411.1, 2620.6, 2329.6, 2623.5
4500, 3154.9, 3222.9, 3278.4, 2631.3, 3345.2, 3001.7, 2870.1, 2884.6, 3346.9, 2287.7
5000, 3053.4, 3703.3, 2619.2, 2800.4, 3323.0, 2818.7, 2862.7, 3248.8, 2809.3, 3253.2
