Instances, FordFulkerson, EdmondsKarp, HighestLabelPushRelabel
1000, 109.3, 53.0, 16.0
1500, 387.5, 117.2, 3391.0
2000, 645.9, 182.7, 6313.0
2500, 1176.5, 237.5, 11829.0
3000, 1645.8, 431.2, 26456.0
3500, 1651.2, 412.7, 39436.0
4000, 3128.2, 620.4, 56784.0
4500, 2801.9, 1054.6, 82505.0
5000, 3090.6, 765.7, 98963.0
