Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
1000, 90.13000000000001, 144.18, 55.029999999999994, 116.68999999999998, 77.85999999999999
1500, 159.7, 269.77000000000004, 120.75999999999999, 217.8, 161.39999999999998
2000, 297.66, 453.66999999999996, 198.7, 446.6, 243.03999999999996
2500, 367.8, 617.21, 265.18, 675.3600000000001, 665.09
3000, 654.13, 997.99, 406.84000000000003, 1209.09, 395.18999999999994
3500, 611.0000000000001, 1217.66, 461.65, 1670.6, 506.15
4000, 802.2900000000001, 1480.52, 603.3199999999999, 2075.65, 1559.0099999999998
4500, 1360.53, 2551.24, 1062.25, 3003.7, 817.69
5000, 1337.85, 2291.3, 887.21, 2920.7400000000002, 928.3
