Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
1000, 1516, 0, 0, 0, 0
1500, 1516, 0, 0, 0, 0
2000, 4250, 0, 0, 0, 0
2500, 4250, 0, 0, 0, 0
3000, 9094, 0, 0, 0, 0
3500, 9094, 0, 0, 0, 0
4000, 16142, 0, 0, 0, 0
4500, 16142, 0, 0, 0, 0
5000, 29501, 0, 0, 0, 0
