Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
1000, 226.8, 271.7, 173.6, 275.2, 234.3
1500, 454.7, 390.7, 250.1, 448.3, 331.3
2000, 1192.4, 596.8, 543.7, 873.7, 593.7
2500, 1697.2, 778.2, 900.0, 1281.3, 1196.9
3000, 3304.8, 1212.5, 1486.1, 2305.0, 1164.1
3500, 4355.0, 1770.3, 2170.4, 3668.8, 1604.8
4000, 6839.3, 2620.6, 3342.5, 5412.8, 3103.4
4500, 10593.0, 2884.6, 5115.9, 7451.9, 2931.3
5000, 12446.2, 3248.8, 5967.3, 7094.2, 3314.2
