Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
1000, 1500, 0, 0, 0, 0
1500, 1500, 0, 0, 0, 0
2000, 4547, 0, 0, 0, 0
2500, 4547, 0, 0, 0, 0
3000, 10365, 0, 0, 0, 0
3500, 10365, 0, 0, 0, 0
4000, 20470, 0, 0, 0, 0
4500, 20470, 0, 0, 0, 0
5000, 33486, 0, 0, 0, 0
