Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
1000, 81.2, 129.5, 53.0, 104.7, 57.9
1500, 161.1, 268.9, 118.6, 214.1, 151.6
2000, 276.6, 423.6, 159.3, 448.2, 211.1
2500, 295.4, 436.0, 207.7, 514.2, 610.9
3000, 673.5, 939.3, 439.2, 1211.7, 425.2
3500, 484.3, 942.3, 347.3, 1204.9, 396.8
4000, 844.1, 1659.6, 607.7, 2242.5, 1566.1
4500, 1236.2, 2259.4, 962.6, 2628.3, 690.8
5000, 1478.3, 2575.3, 950.0, 3185.1, 1004.5
