Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 126.6, 51.6, 825.3, 573.5, 592.5
10, 254.7, 58.0, 1038.3, 844.1, 1097.1
15, 328.3, 100.1, 1302.5, 1107.9, 1373.8
20, 389.0, 125.0, 1628.2, 1510.0, 1920.6
25, 628.2, 171.8, 1778.9, 1673.4, 1938.2
30, 229.8, 147.0, 48.4, 34.4, 42.3
35, 895.3, 186.0, 2405.1, 2150.1, 2521.1
40, 870.5, 203.2, 2591.4, 2389.3, 2792.4
45, 1412.5, 200.1, 2967.3, 2962.8, 3701.7
50, 990.6, 254.7, 3256.4, 3345.4, 4167.4
55, 1545.3, 285.3, 3585.1, 3825.3, 4910.0
60, 1671.8, 335.9, 3806.5, 4140.9, 5052.0
65, 1814.0, 386.0, 4058.7, 4509.7, 5659.8
70, 1853.0, 468.6, 4300.3, 4763.5, 6245.9
75, 1879.8, 517.8, 4563.0, 5025.4, 6375.2
80, 2012.7, 611.1, 4799.5, 5337.6, 6614.8
85, 1657.8, 692.1, 4891.2, 5311.2, 6319.5
90, 1778.2, 740.6, 5046.1, 5103.4, 5817.5
95, 1733.1, 819.0, 4981.4, 4404.7, 4612.7
100, 2048.6, 884.3, 5242.9, 5250.9, 5828.4
