Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 101.4, 43.8, 26.6, 25.2, 17.3
10, 187.4, 56.1, 962.0, 759.4, 870.4
15, 309.4, 117.1, 1180.2, 1012.5, 1107.9
20, 432.9, 120.4, 1491.5, 1345.4, 1565.8
25, 476.7, 150.0, 1753.2, 1642.5, 1827.8
30, 265.5, 153.1, 65.4, 43.6, 51.5
35, 303.3, 168.8, 67.1, 52.7, 67.1
40, 281.2, 159.4, 86.0, 68.8, 85.8
45, 520.4, 165.6, 56.3, 45.3, 53.0
50, 279.7, 210.9, 69.0, 54.9, 60.9
55, 271.9, 239.2, 79.5, 59.5, 76.7
60, 635.9, 265.5, 107.9, 76.5, 106.2
65, 657.6, 301.7, 106.4, 85.8, 92.2
70, 698.4, 351.6, 89.3, 70.4, 79.7
75, 748.6, 415.4, 98.6, 77.9, 95.1
80, 870.3, 493.8, 137.4, 87.4, 106.3
85, 337.3, 562.4, 128.2, 93.8, 153.2
90, 370.4, 643.8, 139.1, 115.7, 143.6
95, 370.2, 681.7, 142.1, 139.1, 150.1
100, 379.9, 751.5, 190.3, 173.4, 178.1
