Instances; LinkedList; HashMap; SplitArray; TreeMap
5;78;132;78;140
10;274;314;215;478
15;490;470;325;673
20;249;375;173;538
25;365;715;432;936
30;539;799;446;1301
35;808;854;458;1284
40;2166;1331;1489;2059
45;710;1064;510;1445
50;684;1004;506;1459
