Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 15.7, 28.0, 15.7, 32.9, 15.6
10, 15.7, 39.0, 14.2, 51.5, 15.6
15, 23.3, 68.8, 15.8, 67.2, 31.2
20, 26.5, 54.7, 14.3, 68.9, 20.3
25, 17.0, 86.1, 19.0, 81.3, 21.8
30, 15.8, 106.2, 15.7, 112.4, 18.6
35, 23.3, 115.5, 20.3, 170.2, 20.2
40, 20.0, 114.1, 18.6, 168.9, 25.0
45, 28.2, 176.7, 18.9, 168.7, 23.6
50, 20.4, 198.5, 21.7, 200.1, 25.2
55, 26.6, 239.2, 23.4, 240.5, 26.4
60, 28.1, 260.9, 21.8, 300.2, 26.4
65, 26.4, 259.4, 20.5, 318.8, 28.2
70, 31.3, 278.1, 21.9, 347.0, 26.4
75, 33.0, 276.4, 26.6, 391.9, 23.2
80, 39.1, 295.5, 24.8, 425.4, 26.2
85, 43.8, 359.6, 42.0, 473.4, 20.4
90, 42.2, 390.7, 18.7, 551.5, 23.4
95, 37.4, 498.6, 18.9, 760.7, 23.4
100, 26.7, 1034.6, 22.0, 2009.6, 21.9
