Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 15.9, 26.6, 13.7, 31.4, 18.6
10, 15.9, 48.2, 14.0, 53.3, 17.2
15, 21.8, 67.2, 15.3, 68.9, 28.4
20, 25.0, 54.7, 12.6, 68.6, 20.3
25, 15.6, 75.2, 17.5, 73.5, 18.8
30, 17.4, 104.8, 18.9, 110.9, 20.3
35, 21.8, 120.4, 17.1, 168.6, 22.0
40, 21.9, 112.4, 20.3, 159.2, 18.8
45, 40.7, 170.3, 21.8, 164.0, 26.5
50, 23.7, 198.6, 22.1, 200.1, 20.1
55, 29.7, 231.4, 25.1, 248.4, 26.7
60, 28.0, 261.0, 18.9, 289.1, 21.8
65, 31.2, 253.3, 20.3, 314.1, 28.1
70, 31.3, 259.4, 21.9, 343.9, 28.1
75, 31.1, 270.1, 25.1, 382.9, 21.6
80, 37.4, 295.3, 24.8, 432.7, 25.1
85, 39.1, 357.6, 37.6, 465.5, 21.8
90, 42.1, 393.8, 22.1, 540.7, 21.8
95, 36.1, 489.1, 20.2, 770.4, 28.1
100, 26.5, 1031.2, 21.9, 1998.4, 23.3
