Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 15.7, 32.5, 15.4, 47.0, 18.8
10, 15.9, 57.9, 15.8, 83.0, 16.9
15, 20.2, 121.8, 18.7, 128.3, 20.0
20, 23.4, 87.3, 12.6, 120.3, 22.0
25, 15.6, 179.5, 17.2, 195.1, 18.6
30, 21.8, 232.7, 15.7, 253.1, 23.3
35, 22.0, 247.1, 18.9, 293.8, 18.9
40, 21.8, 232.8, 18.7, 382.9, 22.0
45, 43.7, 373.4, 17.2, 451.5, 24.8
50, 23.5, 417.3, 22.0, 484.4, 22.1
55, 29.8, 462.6, 21.8, 584.3, 26.5
60, 31.1, 507.7, 23.4, 632.8, 23.6
65, 32.6, 504.7, 25.2, 772.2, 43.9
70, 32.7, 575.0, 23.3, 904.6, 24.7
75, 35.7, 587.1, 20.4, 1078.2, 23.5
80, 38.9, 712.7, 29.7, 1190.5, 23.6
85, 42.1, 832.8, 36.1, 1348.6, 21.6
90, 43.6, 881.7, 24.8, 1509.5, 18.5
95, 29.8, 956.8, 18.8, 1667.0, 25.0
100, 23.5, 1040.9, 23.4, 1976.3, 23.7
