Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 17.2, 32.6, 15.6, 42.1, 21.9
10, 15.4, 56.4, 17.2, 89.0, 20.3
15, 20.4, 110.8, 17.2, 139.1, 23.2
20, 26.6, 92.1, 10.6, 118.9, 17.2
25, 15.7, 196.9, 17.2, 200.0, 20.4
30, 17.3, 236.0, 15.7, 251.6, 20.3
35, 23.6, 256.3, 18.6, 326.4, 18.7
40, 25.0, 232.9, 15.7, 379.7, 18.8
45, 40.6, 390.7, 17.3, 406.3, 26.7
50, 22.0, 434.4, 28.0, 473.3, 20.6
55, 29.6, 500.0, 20.1, 584.2, 23.4
60, 28.1, 490.6, 28.1, 637.5, 25.1
65, 32.8, 537.8, 23.4, 787.6, 43.8
70, 32.7, 592.4, 27.0, 929.9, 25.0
75, 32.8, 639.1, 25.1, 1086.0, 23.4
80, 34.3, 713.0, 20.5, 1219.0, 22.2
85, 40.8, 819.0, 34.3, 1349.8, 18.6
90, 42.4, 882.9, 20.4, 1504.6, 26.5
95, 34.4, 990.6, 18.8, 1714.4, 21.8
100, 29.6, 1040.7, 23.5, 1986.0, 17.1
