Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 15.7, 25.0, 14.0, 31.1, 17.2
10, 15.7, 36.1, 15.6, 54.7, 15.4
15, 23.4, 75.0, 15.4, 71.9, 31.3
20, 21.8, 58.0, 12.4, 64.2, 20.3
25, 15.6, 83.0, 15.8, 78.1, 20.4
30, 15.5, 104.6, 17.1, 117.1, 25.0
35, 24.8, 126.6, 15.6, 164.2, 23.5
40, 17.1, 118.9, 20.6, 159.6, 23.5
45, 40.6, 184.4, 17.4, 165.8, 20.3
50, 20.4, 198.7, 18.8, 198.3, 17.2
55, 26.6, 229.7, 20.5, 246.9, 23.5
60, 29.6, 261.1, 18.8, 305.0, 25.0
65, 26.6, 260.8, 26.5, 318.9, 29.4
70, 32.6, 272.0, 26.7, 342.2, 25.0
75, 36.1, 271.7, 26.5, 394.0, 26.8
80, 40.7, 307.9, 26.8, 432.0, 17.3
85, 40.6, 361.1, 37.5, 480.1, 20.2
90, 37.6, 384.7, 23.4, 543.8, 25.1
95, 34.2, 498.4, 18.8, 736.0, 20.3
100, 21.6, 1031.5, 18.5, 1991.0, 25.2
