Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 15.7, 20.3, 14.0, 32.8, 17.1
10, 15.5, 40.6, 15.4, 54.4, 17.0
15, 18.6, 70.4, 15.6, 71.8, 26.5
20, 24.9, 56.3, 9.5, 64.1, 21.8
25, 15.5, 75.1, 17.0, 76.6, 20.5
30, 17.0, 103.0, 18.9, 104.7, 18.7
35, 21.5, 126.9, 15.7, 173.5, 21.6
40, 25.2, 117.0, 17.3, 162.4, 20.4
45, 34.2, 172.0, 20.3, 179.9, 23.5
50, 17.1, 201.6, 17.1, 201.6, 20.2
55, 29.8, 228.1, 23.4, 229.4, 21.8
60, 28.0, 250.0, 23.4, 298.4, 25.0
65, 31.4, 257.8, 18.9, 317.1, 26.4
70, 36.0, 278.2, 20.3, 350.2, 18.7
75, 32.9, 271.9, 17.2, 376.7, 23.2
80, 37.5, 284.7, 24.8, 433.0, 23.7
85, 42.4, 350.2, 37.5, 474.8, 23.5
90, 45.3, 387.6, 22.0, 534.5, 26.6
95, 37.5, 487.6, 22.0, 736.2, 24.9
100, 26.6, 1031.3, 20.4, 1995.3, 20.3
