Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 190.7, 138.9, 101.1, 151.7, 97.2
10, 208.0, 145.4, 117.2, 153.3, 76.6
15, 212.8, 123.4, 100.3, 167.5, 70.1
20, 212.6, 131.3, 89.2, 173.4, 79.7
25, 214.1, 131.4, 110.9, 187.7, 87.5
30, 273.4, 149.9, 118.7, 182.6, 95.3
35, 277.9, 145.4, 134.5, 201.8, 82.9
40, 324.9, 140.5, 139.0, 214.1, 103.1
45, 362.5, 165.6, 159.6, 259.5, 106.3
50, 410.9, 172.0, 175.1, 261.0, 123.4
55, 460.8, 184.5, 176.7, 272.0, 128.0
60, 578.3, 181.4, 195.2, 298.5, 121.8
65, 753.1, 163.9, 226.5, 257.9, 138.9
70, 893.8, 165.6, 248.5, 312.5, 103.1
75, 1254.5, 189.0, 281.4, 314.1, 139.1
80, 1018.8, 178.1, 267.3, 367.1, 145.3
85, 874.9, 176.1, 274.9, 343.8, 399.9
90, 826.8, 213.9, 303.3, 420.3, 414.1
95, 631.1, 245.4, 309.2, 523.4, 423.4
100, 828.1, 1403.0, 314.1, 4111.2, 118.9
