Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 212.6, 201.5, 117.2, 222.0, 132.8
10, 246.8, 273.4, 134.4, 256.2, 139.0
15, 251.6, 279.6, 134.6, 273.5, 159.4
20, 220.3, 322.1, 145.4, 271.8, 162.3
25, 253.2, 383.0, 162.3, 339.7, 190.6
30, 309.7, 427.8, 175.2, 392.3, 210.8
35, 326.5, 449.9, 192.1, 440.2, 223.7
40, 350.4, 539.1, 220.3, 464.2, 246.9
45, 352.9, 562.3, 238.9, 476.4, 262.4
50, 425.2, 651.6, 267.2, 570.4, 287.4
55, 495.2, 656.3, 292.4, 673.2, 310.9
60, 564.1, 662.7, 318.9, 744.4, 342.0
65, 614.1, 684.5, 339.6, 804.8, 340.3
70, 648.5, 701.3, 360.7, 838.8, 329.7
75, 665.4, 665.6, 373.5, 863.2, 360.9
80, 664.0, 665.7, 386.0, 876.6, 384.7
85, 664.2, 648.4, 398.5, 869.2, 669.2
90, 649.8, 668.8, 423.4, 870.2, 692.1
95, 634.5, 651.9, 439.2, 907.2, 708.0
100, 689.1, 681.3, 458.1, 1062.1, 431.4
