Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 25.4, 31.3, 20.3, 48.4, 32.9
10, 28.3, 34.4, 23.5, 49.8, 21.7
15, 21.9, 34.6, 18.8, 48.6, 34.6
20, 29.8, 42.3, 21.8, 53.1, 25.0
25, 21.8, 40.6, 25.0, 46.9, 25.2
30, 28.0, 46.8, 15.7, 45.3, 31.3
35, 26.4, 42.0, 21.9, 52.9, 23.3
40, 26.6, 48.6, 26.7, 61.1, 28.1
45, 39.1, 57.7, 29.8, 75.1, 26.4
50, 31.2, 65.6, 26.6, 56.1, 29.8
55, 29.7, 69.0, 31.3, 59.3, 32.8
60, 40.6, 62.6, 29.6, 68.6, 31.0
65, 32.8, 60.8, 29.6, 64.0, 31.3
70, 32.9, 65.7, 31.2, 75.1, 29.7
75, 36.0, 67.3, 28.1, 83.0, 28.1
80, 40.6, 86.1, 34.3, 93.9, 29.9
85, 39.2, 87.2, 35.7, 95.2, 29.6
90, 45.4, 76.6, 28.1, 97.0, 28.1
95, 42.3, 67.1, 24.9, 68.6, 31.1
100, 34.6, 65.7, 29.6, 78.0, 31.1
