Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 193.9, 131.4, 98.6, 151.6, 92.2
10, 203.3, 132.7, 100.0, 159.3, 78.2
15, 195.4, 132.7, 104.7, 158.0, 72.0
20, 206.3, 129.8, 89.0, 164.1, 75.1
25, 200.0, 131.3, 112.5, 192.2, 92.3
30, 259.3, 142.3, 112.6, 206.2, 89.0
35, 290.6, 150.0, 123.5, 206.6, 73.5
40, 321.9, 145.4, 146.8, 212.5, 101.5
45, 345.5, 176.6, 154.3, 256.3, 98.3
50, 381.1, 175.1, 170.4, 262.5, 142.3
55, 429.7, 176.5, 192.4, 253.0, 134.4
60, 511.1, 178.3, 195.2, 273.3, 123.5
65, 703.0, 168.7, 245.3, 279.6, 128.2
70, 1020.6, 173.2, 253.0, 334.4, 106.1
75, 1061.1, 174.9, 248.4, 340.8, 121.8
80, 936.0, 164.3, 253.2, 337.5, 140.4
85, 868.7, 178.0, 256.4, 359.6, 386.0
90, 920.1, 200.0, 312.4, 409.3, 423.8
95, 792.2, 232.7, 314.3, 462.5, 432.7
100, 743.6, 1393.9, 307.8, 4125.4, 120.2
