Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 20.5, 33.1, 22.0, 39.1, 31.2
10, 26.6, 40.7, 26.8, 46.9, 28.1
15, 25.0, 43.7, 20.2, 53.2, 36.2
20, 26.5, 45.2, 15.2, 49.9, 25.1
25, 18.7, 35.9, 26.5, 45.4, 23.4
30, 23.5, 45.4, 18.6, 50.0, 29.9
35, 23.1, 42.2, 23.5, 54.5, 26.6
40, 31.2, 46.7, 23.5, 60.9, 32.8
45, 46.9, 57.7, 31.2, 73.4, 31.4
50, 31.2, 59.3, 28.3, 62.5, 26.6
55, 32.7, 61.1, 27.9, 62.2, 26.6
60, 39.1, 65.5, 29.6, 64.0, 29.7
65, 33.0, 65.7, 28.2, 68.8, 32.6
70, 37.6, 73.3, 31.4, 75.2, 28.1
75, 34.6, 65.5, 26.7, 85.9, 24.9
80, 37.5, 68.8, 29.8, 93.6, 26.4
85, 37.7, 88.8, 37.5, 96.9, 31.2
90, 42.2, 79.6, 25.0, 98.4, 29.9
95, 51.6, 65.5, 23.5, 71.8, 28.0
100, 40.6, 68.6, 26.8, 76.5, 29.9
