Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 26.8, 34.4, 23.7, 45.4, 28.2
10, 21.9, 35.9, 23.4, 45.2, 26.4
15, 29.8, 39.1, 26.7, 48.6, 36.2
20, 26.6, 43.5, 23.7, 54.6, 23.3
25, 20.2, 34.4, 23.7, 45.3, 28.1
30, 25.0, 45.3, 21.9, 48.4, 29.9
35, 23.9, 37.7, 23.5, 56.3, 24.9
40, 33.2, 51.6, 25.2, 62.5, 29.9
45, 40.5, 64.0, 28.0, 74.9, 31.3
50, 28.2, 56.1, 28.3, 59.6, 29.7
55, 31.1, 61.1, 29.6, 64.1, 29.8
60, 32.6, 67.0, 26.5, 64.1, 28.0
65, 37.4, 64.3, 26.5, 71.9, 26.5
70, 34.4, 70.4, 29.6, 78.1, 28.3
75, 36.1, 67.1, 31.2, 87.4, 32.8
80, 35.8, 79.6, 24.9, 93.7, 29.6
85, 38.8, 89.1, 32.8, 93.8, 28.1
90, 42.4, 81.3, 24.8, 98.4, 32.8
95, 35.9, 63.9, 26.5, 68.8, 29.6
100, 37.5, 70.4, 28.3, 76.5, 31.2
