Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 15.3, 36.0, 14.2, 42.2, 22.1
10, 15.6, 57.8, 15.4, 89.1, 23.5
15, 23.1, 112.6, 15.7, 123.6, 21.6
20, 26.7, 88.9, 14.1, 109.2, 20.3
25, 18.7, 198.6, 17.4, 200.1, 17.2
30, 15.7, 237.5, 20.2, 240.9, 22.0
35, 23.3, 261.0, 17.2, 300.1, 18.8
40, 23.3, 242.0, 17.2, 376.6, 23.5
45, 39.1, 379.6, 20.6, 459.4, 28.3
50, 23.3, 425.0, 17.2, 470.3, 29.6
55, 28.2, 484.4, 20.4, 586.0, 26.5
60, 29.8, 487.6, 23.5, 639.2, 23.5
65, 32.8, 493.7, 25.0, 738.1, 54.5
70, 32.9, 557.9, 23.3, 954.8, 23.4
75, 34.4, 648.3, 25.0, 1098.6, 23.3
80, 37.2, 693.6, 28.3, 1157.8, 26.7
85, 40.6, 837.6, 39.0, 1325.1, 26.3
90, 42.2, 926.7, 17.2, 1533.1, 26.6
95, 34.3, 955.2, 23.6, 1684.1, 21.7
100, 22.0, 1038.0, 20.2, 1979.9, 18.6
