Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 15.5, 37.5, 15.7, 49.9, 17.3
10, 15.4, 59.6, 15.7, 92.4, 23.2
15, 17.5, 106.1, 17.1, 142.4, 25.3
20, 23.3, 95.3, 15.8, 120.4, 17.2
25, 15.7, 186.0, 17.2, 193.7, 21.7
30, 18.8, 237.6, 15.7, 243.7, 22.0
35, 21.9, 245.4, 18.8, 317.2, 21.7
40, 24.9, 226.5, 22.1, 348.4, 23.4
45, 50.1, 393.7, 17.4, 418.6, 21.6
50, 26.8, 425.2, 20.3, 498.3, 21.7
55, 31.4, 475.0, 20.3, 582.8, 26.7
60, 28.0, 468.8, 23.3, 638.8, 23.5
65, 31.3, 515.8, 16.9, 800.0, 48.4
70, 32.8, 590.3, 18.9, 970.3, 21.9
75, 35.9, 610.9, 23.4, 1087.6, 21.9
80, 37.6, 695.4, 26.6, 1181.3, 23.3
85, 43.7, 837.7, 36.1, 1367.3, 21.7
90, 45.3, 929.6, 20.3, 1498.4, 23.5
95, 34.4, 993.8, 18.8, 1673.6, 21.8
100, 29.6, 1039.3, 28.1, 1992.3, 20.7
