Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 22.1, 33.1, 25.0, 39.1, 31.4
10, 21.9, 34.3, 23.7, 48.3, 29.6
15, 25.0, 43.8, 20.5, 51.7, 34.6
20, 25.0, 45.3, 19.0, 53.3, 25.2
25, 15.7, 39.1, 31.3, 43.7, 23.5
30, 28.0, 42.2, 15.7, 45.5, 29.7
35, 26.4, 42.1, 25.1, 54.7, 23.5
40, 29.7, 45.3, 23.0, 59.4, 28.2
45, 39.2, 63.7, 27.9, 68.7, 29.6
50, 32.8, 59.5, 28.3, 56.3, 28.3
55, 31.2, 60.9, 29.7, 59.2, 26.5
60, 37.6, 65.8, 31.2, 68.7, 27.9
65, 36.1, 64.2, 28.1, 76.6, 33.0
70, 34.6, 65.8, 26.6, 79.7, 29.8
75, 36.1, 76.6, 32.7, 86.0, 26.5
80, 40.6, 70.4, 29.5, 90.4, 23.4
85, 37.6, 90.8, 33.0, 98.4, 31.3
90, 46.9, 82.9, 26.5, 100.1, 26.5
95, 40.8, 64.2, 31.3, 71.8, 31.2
100, 32.7, 73.4, 26.5, 74.9, 31.3
