Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 15.7, 31.5, 15.7, 46.8, 20.3
10, 17.2, 59.4, 15.7, 82.9, 22.0
15, 23.7, 120.4, 15.7, 129.8, 28.0
20, 20.3, 87.5, 14.0, 114.0, 20.2
25, 15.5, 187.6, 17.2, 195.3, 23.3
30, 18.5, 239.2, 17.2, 251.6, 21.8
35, 24.8, 243.8, 18.7, 290.6, 26.7
40, 26.5, 229.6, 20.1, 343.6, 22.0
45, 43.6, 381.1, 18.9, 403.4, 26.4
50, 21.9, 426.7, 17.4, 474.9, 21.8
55, 25.2, 473.5, 21.9, 584.5, 23.4
60, 31.2, 500.0, 23.6, 673.4, 23.5
65, 32.9, 515.7, 24.9, 784.4, 32.7
70, 32.7, 570.2, 20.3, 923.4, 26.6
75, 39.0, 609.5, 23.4, 1098.4, 25.1
80, 36.0, 698.4, 28.1, 1187.9, 29.4
85, 39.0, 828.1, 35.9, 1355.1, 21.9
90, 46.9, 881.2, 20.5, 1489.3, 26.6
95, 35.8, 976.5, 18.8, 1676.6, 20.5
100, 26.6, 1036.0, 20.3, 1981.9, 24.8
