Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 28.1, 32.7, 21.8, 45.3, 31.2
10, 26.6, 37.5, 25.1, 45.1, 29.8
15, 26.4, 39.2, 17.2, 45.4, 34.5
20, 29.6, 48.7, 21.9, 51.5, 26.5
25, 17.2, 42.2, 26.6, 45.3, 29.5
30, 27.9, 39.1, 20.1, 50.1, 29.7
35, 23.6, 40.7, 25.0, 53.2, 23.3
40, 28.1, 45.4, 25.2, 59.1, 27.9
45, 39.2, 56.4, 31.4, 68.7, 31.2
50, 28.2, 61.0, 32.7, 56.4, 27.9
55, 31.3, 62.5, 29.6, 62.2, 25.1
60, 34.5, 62.7, 29.9, 62.6, 29.7
65, 36.0, 63.9, 32.8, 72.0, 31.2
70, 34.4, 68.9, 28.1, 79.6, 32.9
75, 37.6, 74.8, 31.4, 85.8, 34.3
80, 37.3, 79.7, 29.4, 92.3, 29.6
85, 37.5, 90.6, 37.5, 95.3, 28.3
90, 46.9, 78.1, 23.4, 100.1, 29.8
95, 43.8, 62.6, 25.1, 71.8, 31.4
100, 32.8, 65.5, 29.7, 76.6, 29.5
