Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 15.8, 23.3, 15.5, 32.8, 18.6
10, 15.7, 39.2, 12.3, 54.6, 17.2
15, 18.6, 62.4, 15.6, 71.8, 28.0
20, 25.2, 57.7, 9.2, 64.0, 18.7
25, 17.3, 78.0, 15.8, 74.9, 22.0
30, 17.2, 103.2, 15.7, 117.3, 26.4
35, 23.5, 125.1, 17.3, 164.3, 24.9
40, 23.5, 109.4, 18.7, 164.1, 23.3
45, 28.2, 170.4, 20.0, 178.2, 25.0
50, 17.0, 199.9, 20.2, 203.1, 23.4
55, 26.6, 231.3, 17.3, 240.6, 23.6
60, 28.3, 253.3, 18.9, 292.2, 24.9
65, 29.5, 254.8, 22.0, 315.5, 28.1
70, 34.5, 254.5, 24.8, 347.0, 24.7
75, 34.3, 265.6, 25.0, 389.2, 25.0
80, 40.7, 292.2, 26.5, 434.1, 20.5
85, 42.2, 351.5, 42.3, 457.9, 26.7
90, 45.3, 394.5, 18.5, 542.1, 26.6
95, 32.9, 476.5, 17.3, 731.4, 23.4
100, 24.9, 1043.9, 18.6, 2022.0, 23.5
