Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 209.4, 199.9, 129.7, 212.6, 131.3
10, 253.1, 259.2, 137.4, 253.2, 132.8
15, 238.9, 281.2, 137.4, 273.3, 156.2
20, 220.0, 332.8, 151.5, 271.8, 174.9
25, 256.1, 395.3, 164.1, 337.4, 193.7
30, 303.2, 435.9, 178.1, 401.9, 210.9
35, 334.5, 464.0, 196.8, 443.8, 223.4
40, 346.9, 524.9, 214.0, 458.4, 247.0
45, 351.9, 571.8, 248.5, 475.6, 262.8
50, 435.9, 645.2, 268.5, 572.4, 306.2
55, 495.3, 673.6, 298.2, 681.4, 315.8
60, 556.2, 672.0, 309.7, 757.8, 329.7
65, 609.5, 689.6, 350.1, 825.1, 345.2
70, 645.2, 691.1, 350.1, 841.1, 339.2
75, 667.8, 671.7, 371.8, 860.9, 375.0
80, 670.4, 682.8, 396.9, 884.7, 398.5
85, 665.8, 661.1, 389.1, 904.6, 679.6
90, 649.9, 636.0, 412.4, 900.2, 689.2
95, 627.9, 653.3, 437.4, 936.7, 709.3
100, 698.5, 674.0, 463.3, 1071.7, 422.0
