Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 40, 49, 23, 41, 32, 34
10, 32, 65, 24, 52, 34, 44
15, 41, 63, 24, 44, 36, 49
20, 65, 93, 59, 75, 63, 76
25, 40, 61, 32, 51, 34, 47
30, 41, 72, 28, 70, 30, 57
35, 37, 80, 38, 63, 42, 70
40, 57, 147, 35, 122, 37, 119
45, 43, 83, 37, 59, 39, 69
50, 49, 101, 31, 70, 37, 62
55, 46, 97, 27, 61, 41, 76
60, 45, 518, 39, 504, 34, 502
65, 513, 574, 509, 555, 503, 556
70, 40, 87, 39, 81, 27, 78
75, 42, 95, 49, 81, 31, 72
80, 38, 93, 41, 83, 38, 82
85, 47, 106, 44, 85, 34, 89
90, 55, 118, 38, 102, 37, 95
95, 44, 114, 41, 103, 41, 100
100, 45, 126, 52, 107, 45, 101
