Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 42, 55, 30, 39, 33, 36
10, 44, 61, 31, 49, 41, 44
15, 41, 64, 32, 44, 29, 50
20, 59, 96, 62, 93, 60, 82
25, 36, 71, 30, 61, 37, 60
30, 44, 76, 39, 58, 31, 46
35, 44, 77, 33, 61, 30, 73
40, 45, 136, 32, 137, 36, 120
45, 54, 74, 31, 63, 32, 57
50, 46, 80, 33, 74, 39, 69
55, 49, 84, 38, 60, 38, 66
60, 43, 535, 32, 506, 45, 509
65, 525, 564, 510, 555, 511, 549
70, 56, 100, 37, 80, 39, 76
75, 58, 93, 33, 82, 38, 79
80, 45, 100, 35, 90, 33, 70
85, 42, 109, 41, 89, 38, 79
90, 58, 112, 43, 98, 43, 98
95, 54, 117, 39, 103, 45, 96
100, 60, 116, 45, 107, 48, 104
