Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 37, 56, 27, 33, 28, 42
10, 39, 59, 28, 44, 32, 44
15, 46, 64, 25, 52, 36, 45
20, 70, 97, 49, 83, 64, 85
25, 37, 84, 25, 50, 29, 47
30, 36, 77, 31, 50, 30, 57
35, 48, 78, 36, 67, 33, 68
40, 39, 138, 40, 115, 40, 121
45, 43, 80, 29, 77, 32, 64
50, 41, 84, 38, 60, 35, 68
55, 49, 86, 29, 69, 36, 73
60, 36, 516, 26, 515, 50, 500
65, 519, 576, 512, 574, 513, 547
70, 47, 91, 32, 78, 38, 80
75, 43, 97, 39, 76, 47, 71
80, 40, 105, 41, 85, 34, 76
85, 47, 100, 35, 93, 45, 83
90, 52, 114, 39, 100, 42, 98
95, 45, 119, 38, 112, 45, 101
100, 67, 126, 48, 106, 47, 101
