Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
1000, 2986, 2891, 2667, 2709, 3100, 2756
1500, 9666, 9401, 8613, 8579, 7811, 10394
2000, 20316, 20564, 19515, 19448, 19250, 19243
2500, 42121, 40263, 36419, 36421, 37129, 33156
3000, 69948, 68253, 64599, 64549, 62064, 63922
3500, 101251, 103062, 94323, 95964, 105320, 78805
4000, 148691, 152855, 141781, 146381, 125349, 122036
4500, 219920, 226092, 199765, 204541, 171075, 188177
5000, 295696, 291328, 276227, 278687, 206328, 243704
