Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
1000, 1047.0, 969.0, 881.0, 844.0, 1125.0, 1082.0
1500, 3531.0, 3394.0, 3313.0, 3265.0, 3503.0, 3141.0
2000, 9438.0, 7880.0, 7850.0, 7880.0, 6110.0, 6922.0
2500, 16692.0, 14585.0, 16891.0, 16988.0, 13767.0, 11608.0
3000, 27770.0, 28199.0, 30740.0, 31229.0, 22439.0, 21505.0
3500, 46841.0, 45616.0, 51079.0, 51610.0, 37331.0, 35991.0
4000, 66197.0, 65732.0, 77178.0, 78035.0, 55623.0, 49917.0
4500, 98035.0, 93957.0, 107668.0, 110763.0, 67101.0, 72566.0
5000, 134251.0, 133694.0, 155103.0, 156418.0, 100708.0, 90028.0
