Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 1914, 1789, 1724, 1696, 1842, 1923
10, 2900, 2775, 2590, 2583, 3454, 3411
15, 3335, 3331, 2981, 2948, 3872, 3574
20, 117, 110, 47, 109, 95, 113
25, 58, 56, 50, 58, 45, 65
30, 72, 74, 43, 57, 52, 65
35, 5700, 5428, 4898, 5089, 5645, 5913
40, 6968, 6352, 5718, 6297, 6555, 6493
45, 7406, 7508, 6796, 6602, 8074, 8071
50, 7644, 7407, 6968, 6937, 7343, 7876
55, 101, 97, 67, 92, 74, 95
60, 105, 109, 66, 111, 81, 99
65, 9433, 9524, 9055, 8935, 10311, 10129
70, 10058, 10711, 10363, 10180, 11305, 11204
75, 11007, 11311, 10642, 11114, 11688, 12483
80, 10959, 10663, 9800, 9718, 10602, 10507
85, 12395, 12201, 11678, 11513, 12531, 12415
90, 12661, 12885, 12092, 12095, 12482, 12787
95, 224, 469, 159, 302, 215, 377
100, 283, 505, 197, 1820, 273, 1809
