Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
10, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
15, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
20, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
25, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
30, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
35, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
40, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
45, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
50, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
55, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
60, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
65, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
70, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
75, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
80, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
85, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
90, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
95, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
100, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
