Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
1000, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0
1500, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0
2000, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0
2500, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0
3000, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0
3500, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0
4000, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0
4500, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0
5000, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0
