Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
1000, 637.5, 593.7, 522.3, 515.5, 667.3, 622.2
1500, 3555.1, 3497.7, 3303.8, 3280.4, 3424.3, 3279.2
2000, 8452.3, 7740.4, 7774.6, 7820.5, 6967.5, 6716.5
2500, 16287.6, 15202.8, 16643.2, 16647.4, 12927.8, 13047.7
3000, 28370.5, 27847.9, 30630.5, 30768.1, 23848.7, 23708.8
3500, 44967.2, 45107.8, 51157.9, 51143.0, 36062.2, 36652.6
4000, 68339.4, 65943.7, 76918.9, 76989.2, 54604.9, 54031.1
4500, 100628.0, 95356.3, 107430.1, 108745.7, 74735.1, 71604.4
5000, 135559.4, 131426.1, 154998.4, 156591.8, 104818.8, 109046.1
