Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 1907, 1851, 1690, 1722, 2182, 1992
10, 2858, 2776, 2618, 2621, 3561, 3641
15, 3550, 3701, 3291, 3299, 4534, 4618
20, 4287, 4170, 3843, 3808, 4718, 4692
25, 5090, 4615, 4627, 4508, 5401, 5588
30, 5486, 5334, 4855, 4950, 5978, 6039
35, 6126, 6082, 5557, 5484, 6608, 6363
40, 7095, 6753, 6236, 6363, 7896, 8300
45, 7223, 7661, 6721, 6796, 8561, 8691
50, 8138, 8300, 7748, 7890, 9288, 9595
55, 8303, 8298, 8203, 7844, 9742, 10059
60, 9097, 10044, 8493, 8528, 10550, 11028
65, 9850, 10233, 9339, 9527, 12309, 12243
70, 11372, 11537, 10491, 11040, 14703, 14527
75, 11355, 11690, 11399, 11420, 14345, 14684
80, 10985, 10871, 10733, 10979, 13151, 13034
85, 12746, 12737, 12792, 12874, 15387, 15092
90, 13643, 13265, 13388, 13790, 16990, 16859
95, 12859, 13200, 13066, 13098, 15941, 15843
100, 13878, 13570, 13134, 13292, 15181, 15040
