Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 34, 22, 38, 23, 38, 25
10, 71, 67, 67, 69, 61, 73
15, 3408, 3449, 3082, 3087, 4068, 4093
20, 4169, 4179, 3801, 3810, 4934, 5211
25, 5941, 4815, 4889, 4772, 6311, 6015
30, 6056, 5776, 5678, 5609, 7684, 7712
35, 6445, 6147, 5686, 5975, 8314, 8255
40, 7088, 7123, 6501, 6612, 8993, 8850
45, 7804, 7806, 7198, 7298, 8681, 9190
50, 8772, 8828, 8362, 8309, 10780, 11267
55, 8427, 8540, 7987, 8164, 10809, 10926
60, 9186, 9445, 8887, 8925, 11758, 11663
65, 10268, 10780, 10433, 10305, 13850, 14124
70, 11223, 11839, 10978, 11567, 14580, 14957
75, 11481, 11924, 11730, 11956, 15024, 15433
80, 11293, 11456, 11753, 11771, 14867, 14905
85, 13297, 13191, 13421, 13867, 16326, 16332
90, 13737, 13573, 13909, 14104, 17390, 17476
95, 13175, 13279, 13629, 13758, 16813, 16700
100, 14213, 13929, 14401, 14169, 16621, 16456
