Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 32, 23, 26, 22, 46, 26
10, 65, 63, 57, 64, 69, 63
15, 49, 45, 36, 38, 38, 36
20, 63, 106, 45, 114, 101, 110
25, 67, 58, 50, 53, 52, 57
30, 73, 62, 46, 58, 45, 507
35, 77, 74, 45, 72, 63, 77
40, 75, 80, 50, 69, 60, 68
45, 82, 95, 69, 93, 83, 86
50, 116, 865, 77, 840, 86, 871
55, 80, 96, 57, 91, 85, 95
60, 83, 100, 74, 100, 72, 97
65, 154, 250, 111, 185, 129, 184
70, 181, 383, 92, 1113, 101, 373
75, 1296, 1372, 1187, 1303, 1227, 1398
80, 191, 377, 153, 248, 157, 268
85, 176, 400, 107, 230, 158, 341
90, 183, 440, 139, 273, 201, 391
95, 331, 481, 148, 290, 271, 326
100, 377, 501, 183, 1802, 257, 1898
