Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 2180, 2103, 1822, 1710, 1974, 2129
10, 2978, 3140, 2691, 2562, 3396, 3396
15, 3861, 3791, 3261, 3118, 4118, 4298
20, 4705, 4721, 4139, 3880, 5203, 5118
25, 4602, 4700, 4794, 4184, 5102, 5243
30, 114, 85, 70, 62, 49, 58
35, 6274, 5849, 5087, 5323, 6270, 5846
40, 7031, 7586, 6729, 5930, 6769, 6705
45, 8041, 8366, 7172, 7169, 8437, 8829
50, 8780, 8423, 7849, 7811, 9149, 9407
55, 8438, 8861, 7868, 7731, 10169, 10160
60, 9273, 9552, 8946, 8662, 10886, 10792
65, 10155, 10637, 9655, 9604, 11712, 11996
70, 11672, 11958, 10272, 10758, 12957, 12231
75, 11720, 12103, 11269, 11258, 13232, 13681
80, 11095, 11441, 10720, 10660, 12566, 12563
85, 13091, 11643, 11992, 12206, 13518, 12693
90, 13266, 13435, 11975, 12143, 13021, 12844
95, 13118, 12845, 10857, 10942, 11465, 11311
100, 14182, 14017, 12387, 12364, 13183, 13097
