Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 43, 53, 37, 44, 26, 38
10, 39, 57, 35, 44, 35, 43
15, 34, 61, 25, 52, 29, 44
20, 63, 87, 57, 78, 61, 92
25, 40, 71, 26, 55, 26, 53
30, 42, 82, 32, 53, 26, 56
35, 41, 83, 39, 63, 35, 57
40, 43, 136, 28, 119, 31, 118
45, 36, 82, 40, 72, 42, 61
50, 48, 84, 31, 73, 31, 62
55, 52, 73, 38, 58, 39, 69
60, 40, 520, 32, 502, 28, 508
65, 511, 563, 514, 549, 511, 553
70, 42, 90, 36, 71, 46, 71
75, 39, 97, 34, 76, 38, 77
80, 44, 95, 39, 77, 45, 87
85, 42, 108, 45, 86, 32, 99
90, 49, 115, 49, 96, 39, 95
95, 47, 114, 48, 106, 44, 99
100, 55, 117, 41, 103, 46, 103
