Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 2052, 1819, 1693, 1714, 2138, 1851
10, 2880, 2820, 2599, 2633, 3634, 3634
15, 3629, 3789, 3314, 3483, 4626, 4574
20, 4282, 4232, 4203, 4051, 5482, 5407
25, 5081, 4958, 4571, 4671, 5875, 5811
30, 5779, 5699, 4893, 4871, 6490, 5936
35, 6374, 5719, 5567, 5273, 7416, 6906
40, 7155, 6767, 6214, 6502, 8054, 7598
45, 7833, 7853, 7350, 7393, 9083, 9047
50, 8070, 8598, 8115, 8277, 10479, 11044
55, 8694, 8694, 8329, 8218, 11183, 11357
60, 9605, 9626, 8978, 9037, 12053, 12233
65, 10223, 10350, 9671, 9911, 12805, 12934
70, 11064, 11338, 10553, 10755, 12901, 13141
75, 11370, 11651, 11183, 11488, 13679, 14362
80, 11147, 11229, 10999, 11393, 13676, 13843
85, 12811, 12758, 12251, 12555, 14076, 13305
90, 13006, 13127, 12756, 12746, 14408, 14355
95, 13210, 13135, 12853, 12945, 14869, 14933
100, 13758, 13938, 13732, 13825, 16230, 15906
