Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 1762, 1786, 1595, 1642, 1983, 2075
10, 81, 87, 81, 86, 76, 74
15, 73, 67, 45, 64, 71, 58
20, 4367, 4366, 4224, 3875, 4523, 4940
25, 4660, 5035, 4317, 4352, 5673, 5174
30, 108, 98, 56, 80, 88, 79
35, 81, 64, 43, 70, 49, 67
40, 7517, 7335, 6540, 6958, 7659, 7625
45, 8105, 7522, 7421, 7300, 7932, 7728
50, 161, 154, 127, 131, 127, 142
55, 105, 99, 1220, 98, 110, 89
60, 120, 133, 74, 104, 88, 102
65, 146, 118, 71, 114, 97, 105
70, 147, 136, 72, 141, 112, 117
75, 1700, 1775, 1668, 1731, 1622, 1737
80, 304, 543, 163, 261, 169, 277
85, 243, 525, 123, 286, 136, 340
90, 228, 639, 124, 351, 224, 561
95, 331, 707, 238, 420, 300, 2334
100, 526, 2780, 278, 2623, 430, 2711
