Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
1000, 1047.0, 953.0, 812.0, 843.0, 1078.0, 1047.0
1500, 3563.0, 3610.0, 3344.0, 3304.0, 3360.0, 3719.0
2000, 8438.0, 7860.0, 7938.0, 7922.0, 7578.0, 7923.0
2500, 16485.0, 16673.0, 17002.0, 16930.0, 12079.0, 11954.0
3000, 28642.0, 28548.0, 31205.0, 31200.0, 23235.0, 26084.0
3500, 43946.0, 45268.0, 51585.0, 51467.0, 29802.0, 36643.0
4000, 68490.0, 67519.0, 77919.0, 78365.0, 49268.0, 51347.0
4500, 99522.0, 95848.0, 109146.0, 109106.0, 76344.0, 70433.0
5000, 135007.0, 138074.0, 157072.0, 158278.0, 100489.0, 113981.0
